epoch,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr
1,0.4162,9.3666,2.8005,0.3856,170734.7861,2.5502,0.0,0.0,0.0,0.0,0.00034
2,0.3978,6.9881,2.1933,0.3656,14432.7247,1.9089,0.0,0.0,0.0411,0.0111,0.00067
3,0.3488,5.1439,1.9052,0.2662,4426.8981,1.5376,0.0,0.0,0.3489,0.1489,0.001
4,0.257,3.8171,1.5013,0.2336,3454.3441,1.3544,0.0018,0.0015,0.5295,0.2327,0.00099997
5,0.2157,75.7599,1.2933,0.1824,5226.8889,1.1103,0.0169,0.0147,0.6568,0.3941,0.00099989
6,0.1939,2.6762,1.1846,0.172,2237.5876,1.0698,0.017,0.0177,0.735,0.4359,0.00099975
7,0.1799,2.3977,1.1162,0.1662,2546.0142,1.018,0.0123,0.0133,0.7495,0.4594,0.00099956
8,0.1691,2.1889,1.0578,0.1678,1395.4378,1.0316,0.0257,0.028,0.7919,0.4736,0.00099931
9,0.1628,2.0362,1.0292,0.1507,1313.2566,0.9659,0.0241,0.0265,0.8163,0.5288,0.000999
10,0.157,1.9053,0.999,0.1454,1199.6171,0.9364,0.0597,0.0663,0.849,0.5631,0.00099864
11,0.1516,1.8128,0.9772,0.145,2635.4271,0.9242,0.0335,0.0398,0.8317,0.5504,0.00099823
12,0.1461,1.6987,0.9501,0.1546,542.893,0.9265,0.0219,0.0221,0.8409,0.5492,0.00099776
13,0.1426,1.6324,0.9315,0.1371,642.3038,0.888,0.0437,0.0486,0.8597,0.597,0.00099723
14,0.1384,1.5507,0.916,0.1338,3865.6613,0.8724,0.0515,0.053,0.8765,0.6055,0.00099665
15,0.1339,1.4655,0.8956,0.1399,1558.8351,0.8801,0.029,0.0324,0.863,0.5849,0.00099602
16,0.1304,24.5468,0.8765,0.1317,1389.2346,0.8614,0.0555,0.0604,0.8768,0.6173,0.00099533
17,0.1271,1.3604,0.8638,0.1306,1776.3691,0.8538,0.0414,0.0486,0.8526,0.607,0.00099458
18,0.125,1.3236,0.8563,0.1279,944.3392,0.8536,0.065,0.0707,0.8974,0.6386,0.00099378
19,0.1218,1.2622,0.8423,0.13,1735.8367,0.8672,0.0364,0.0412,0.8804,0.6225,0.00099293
20,0.1186,1.2297,0.8287,0.1218,5223.3857,0.8326,0.0658,0.0707,0.8854,0.649,0.00099202
21,0.1161,1.1982,0.8177,0.1184,754.4435,0.8075,0.0707,0.0722,0.9151,0.6729,0.00099105
22,0.1132,1.132,0.8075,0.1232,3806.1123,0.8425,0.0636,0.0781,0.8987,0.6423,0.00099004
23,0.1102,125.6327,0.7913,0.1125,177.5368,0.7915,0.0941,0.1001,0.9242,0.6931,0.00098896
24,0.1077,1.0891,0.7839,0.1133,246.08,0.787,0.0994,0.1046,0.9283,0.6999,0.00098784
25,0.1067,1.0696,0.7777,0.1126,759.1513,0.7775,0.0899,0.0957,0.9317,0.6907,0.00098666
26,0.1046,1.0408,0.7698,0.1126,1959.9278,0.7795,0.0853,0.0913,0.9227,0.6995,0.00098542
27,0.1035,1.0351,0.7619,0.1141,708.7484,0.797,0.0863,0.1031,0.9046,0.68,0.00098413
28,0.1015,1.0127,0.7545,0.1087,279.3199,0.771,0.1095,0.1105,0.9171,0.7024,0.00098279
29,0.0991,0.9676,0.7447,0.1054,227.4108,0.7565,0.1267,0.134,0.9291,0.7136,0.0009814
30,0.0972,0.9489,0.7396,0.1042,319.1208,0.7589,0.1178,0.1325,0.9464,0.7273,0.00097995
31,0.095,0.928,0.7292,0.1038,509.9263,0.7562,0.1117,0.134,0.9441,0.7274,0.00097845
32,0.0942,0.9173,0.7252,0.1018,358.9999,0.7469,0.1311,0.1458,0.9525,0.7343,0.00097689
33,0.092,0.9178,0.72,0.1012,443.4647,0.7452,0.1446,0.1546,0.9484,0.74,0.00097529
34,0.0913,0.8997,0.7166,0.1,42.1868,0.7271,0.1287,0.134,0.9491,0.7442,0.00097363
35,0.0897,0.8789,0.7086,0.1006,1462.4452,0.7388,0.1292,0.1414,0.9516,0.7423,0.00097191
36,0.0882,0.8636,0.7033,0.1003,3338.8503,0.7384,0.122,0.1325,0.9405,0.7332,0.00097015
37,0.0859,0.8395,0.6953,0.0988,51.4996,0.7225,0.1427,0.1473,0.9478,0.7455,0.00096833
38,0.0843,0.8241,0.689,0.0983,3453.2814,0.7299,0.1461,0.1532,0.9461,0.7445,0.00096646
39,0.084,0.8394,0.6874,0.1031,416.6554,0.7582,0.1075,0.1252,0.9503,0.7275,0.00096454
40,0.0829,0.8148,0.6819,0.0966,67.3007,0.7135,0.1369,0.1399,0.9558,0.7575,0.00096257
41,0.0817,0.8091,0.6779,0.0961,3486.8114,0.7297,0.1513,0.162,0.9598,0.7585,0.00096055
42,0.0795,0.7901,0.6706,0.0939,672.4612,0.7217,0.1738,0.1797,0.9574,0.7634,0.00095847
43,0.0767,0.757,0.6605,0.0947,88.16,0.7109,0.1712,0.1753,0.9525,0.7591,0.00095635
